Real Value Added by Industry
Real Value Added by Industry
"Last Revised on: January 22, 2026"
Line,,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3
12,"    Manufacturing",1858.1,1858.4,1878.3,1915.9,1974.6,1970.1,1970.6,2016.3,2010.2,2049.0,2082.4,2120.3,2045.3,2089.3,2037.5,1912.5,1808.2,1811.7,1838.3,1909.3,1931.2,1939.0,1963.3,1969.4,1958.0,1973.3,1955.4,1971.0,1989.9,1981.5,1949.2,1937.8,2010.9,2019.7,2043.3,2046.8,2011.8,2052.1,2069.3,2063.7,2078.3,2067.3,2068.6,2045.0,2049.9,2045.8,2058.8,2042.7,2062.3,2099.5,2111.6,2165.5,2189.1,2201.8,2216.3,2244.9,2207.1,2221.2,2240.0,2231.0,2174.4,1961.8,2190.8,2234.8,2264.7,2293.3,2288.3,2352.9,2305.7,2274.2,2268.2,2274.6,2224.4,2263.3,2323.8,2356.6,2314.1,2368.9,2389.0,2373.4,2337.7,2405.0,2434.6

Legend/Footnotes
"1. Chained (2017) dollar series are calculated as the product of the chain-type quantity index and the 2017 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The value of the Not allocated by industry line reflects the difference between the first line and the sum of the most detailed lines, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"2. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"3. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"4. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
