Value added by Industry as a Percentage of Gross Domestic Product
Value added by Industry as a Percentage of Gross Domestic Product
"Last Revised on: March 27, 2025"
Line,,1997,1998,1999,2000,2001,2002,2003,2004
Line,,,,,,,,,
12,"    Manufacturing",16.1,15.8,15.5,15.1,13.9,13.4,13.3,13.2

Legend/Footnotes
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
Note. Detail may not add to total due to rounding.
